500	
500.18	0.0551972	-0.0780271
500.29	-0.227622	0.238265
501.19	0.0291324	-0.0486795
501.29	-0.0845371	0.0938011
502.20	0.0943613	-0.124464
502.30	-0.0152818	0.0689566
503.21	0.0386754	-0.0520911
504.21	0.056138	-0.0840604
505.22	0.0393337	-0.053031
505.29	0.175657	-0.0930628
506.30	0.285148	-0.131592
507.28	-0.096484	0.424885
508.29	-0.178874	0.454989
509.30	-0.152454	0.329651
510.30	-0.178032	0.209558
511.32	-0.437741	0.0518598
512.32	-0.397493	0.117157
517.30	0.0284309	0.0379031
518.30	-0.0141365	0.0233056
519.32	0.00233156	0.00678141
520.32	0.00253756	0.000449866
521.32	-0.0269333	-0.0203978
522.30	0.0612184	-0.020403
524.29	-0.358432	0.379622
525.29	-0.271983	0.291729
526.30	-0.15946	0.16047
527.28	0.031813	-0.034963
528.32	-0.240205	0.162925
529.31	-0.0951785	0.0507058
530.28	0.0666663	0.0183223
531.31	-0.00858275	0.0157553
532.31	0.000774719	-0.00216938
533.27	0.058862	0.0475161
533.33	-0.0344297	-0.0323594
534.33	-0.04865	0.00861422
546.29	0.0486388	0.0575259
551.28	0.0822136	0.241678
552.29	0.0211309	0.0645784
553.29	0.0157298	0.0349419
555.30	-0.136143	0.0846051
556.30	-0.102482	0.0583867
557.31	-0.053166	0.0149789
558.33	-0.0451577	0.0297693
559.34	0.0160841	0.0153386
560.34	0.00200502	-0.00126346
562.27	0.0542941	-0.00310888
568.28	-0.0847675	0.0954382
569.29	-0.0722809	0.091657
570.32	0.0110542	-0.0032611
571.32	0.00967053	-0.00142572
572.36	0.0107039	0.0226802
573.37	0.015243	0.0068606
574.35	0.0347871	0.00916592
575.37	-0.00957129	0.0246248
579.31	-0.0895386	0.103726
580.31	-0.118808	0.0916324
581.31	-0.156949	0.162299
582.31	-0.0678067	0.0660945
583.33	-0.275593	0.188856
584.34	-0.0956685	0.0668805
585.34	-0.00182041	-0.00485405
586.34	0.0516768	-0.0326636
587.36	0.0159487	-0.00111221
588.36	0.0154059	-0.00218118
589.38	-0.0165147	0.017089
593.28	0.173085	-0.0407688
594.30	0.0456458	-0.0206041
597.26	0.084449	-0.0177707
597.32	-0.194672	0.209051
599.33	-0.294802	0.306305
599.40	0.0571027	0.023978
600.34	-0.146326	0.163116
600.40	0.0325918	-0.0126728
601.40	0.0604272	-0.0328052
602.30	-0.318689	0.43578
602.39	-0.010146	0.0277223
603.30	-0.100172	0.139228
604.31	-0.0774668	0.100837
607.30	0.0694075	-0.0272974
608.32	0.0333041	-0.0209848
609.26	0.270139	-0.0510377
609.32	0.043971	-0.00248976
610.32	0.0431293	0.00576446
612.37	0.00841828	-0.00117018
613.38	-0.0267234	-0.0209771
614.39	-0.0204292	0.0339061
615.40	-0.0679727	0.076928
616.19	0.0462017	-0.0334822
616.41	-0.0463751	0.0459047
617.41	0.011924	-0.0121984
618.27	-0.071989	0.160639
619.30	-0.176018	0.27733
620.30	-0.0839252	0.141823
621.31	-0.20825	0.359363
622.32	-0.0996956	0.194661
623.29	0.0448985	-0.0382492
624.29	0.0281068	-0.0320662
625.30	0.055209	-0.0233997
626.30	-0.0715464	0.0270695
626.50	0.462754	-0.0996344
627.32	-0.00560106	0.0116936
627.41	0.0362916	-0.00379956
627.51	0.329177	-0.0729648
628.34	0.028559	-0.018877
