coords, x, y 
1,-23.663126,14.917292
2,-8.937441,0.282870
3,-8.916051,0.035201
4,-8.985329,0.688745
5,-8.931288,0.481773
6,-8.842959,-0.303198
7,-8.941293,-0.206615
8,-8.927698,0.182634
9,-8.877196,-0.152737
10,-8.882417,-0.164052
11,-22.796050,13.753465
12,-23.003825,14.035204
13,-23.004112,13.950850
14,-22.996711,13.969845
15,-22.984905,13.936455
16,-23.011550,13.992526
17,-22.998692,13.983520
18,-22.997960,13.934654
19,-22.994932,13.943679
20,-23.020025,13.805143
21,-23.011233,13.808031
22,-22.996558,13.805288
23,-23.531521,14.797713
24,-4.511677,6.251102
25,-4.280708,6.289797
26,-1.338167,4.848214
27,-0.407562,5.257374
28,2.113388,4.090852
29,-0.004440,4.941886
30,1.441087,5.694671
31,2.562122,4.597593
32,1.649361,4.909402
33,2.156246,4.091390
34,3.381132,6.586453
35,1.339125,4.514240
36,5.107729,6.995329
37,5.248851,7.106766
38,0.745596,7.590949
39,-2.377911,5.374540
40,0.027634,5.010059
41,-3.177191,5.622292
42,6.508159,3.611878
43,2.871980,1.716881
44,-8.355454,-0.632319
45,-8.232349,-9.611963
46,-9.662586,-14.365540
47,-10.507326,-10.788456
48,-8.425449,-14.363949
49,-9.049338,-22.218255
50,-11.552788,-5.526530
51,-11.373243,-6.156045
52,-7.602173,-19.618617
53,-10.462692,-3.122865
54,-9.805912,-8.668178
55,-10.145895,-9.431778
56,-11.732426,-8.721725
57,-14.163623,-16.211848
58,-11.926653,-10.183350
59,-10.545138,-2.297163
60,-9.390041,-12.521054
61,-9.653756,-19.475912
62,-10.481501,-15.707176
63,-12.555302,-8.617321
64,-11.861761,-10.091405
65,-13.406161,-12.335070
66,-9.273420,-7.878821
67,-10.467467,-13.464983
68,-9.810936,-3.713972
69,-8.081927,-14.273986
70,-2.649903,-4.603885
71,1.695166,3.025729
72,-2.687563,5.971464
73,-1.009412,4.908639
74,0.026337,5.240994
75,3.435572,9.959286
76,4.195533,7.106150
77,-3.196861,7.155158
78,-1.681246,9.292096
79,-1.681345,10.726447
80,4.788753,13.363569
81,-2.791533,15.467473
82,-0.654686,17.202296
83,-2.092878,18.678424
84,-5.210747,18.869225
85,-3.488814,20.131764
86,-5.858492,18.449724
87,-5.454633,18.094456
88,5.074667,18.137375
89,-2.475227,10.925930
90,6.427657,12.341634
91,5.281579,11.591644
92,6.106450,13.514307
93,5.557043,15.299701
94,-2.473105,9.900724
95,5.051133,12.710740
96,-2.771087,6.696369
97,2.499853,7.049430
98,5.464586,5.976761
99,-2.441843,6.297544
100,2.964392,0.832712
101,-5.354706,0.342502
102,-10.527407,-11.289849
103,-4.225125,-6.226865
104,-6.965137,-10.409756
105,-8.886727,-2.441675
106,-7.444537,-7.523389
107,-5.821759,-10.544968
108,-10.408502,-13.591157
109,-8.016352,-7.630319
110,-10.239508,-5.548327
111,-10.606903,-3.264152
112,-10.958561,-9.303981
113,-12.632624,-17.974523
114,-10.934904,-14.521893
115,-6.313637,-21.337608
116,-9.617394,-5.348812
117,-9.168908,-18.801003
118,-5.358540,-7.556874
119,-9.583413,-2.878355
120,-7.051973,-9.856560
121,-8.196913,-19.658673
122,-7.828238,-11.094219
123,-8.805414,-13.635255
124,-5.367525,-9.600019
125,-6.665667,-4.143683
126,-9.781050,-5.937977
127,-6.574301,-23.313235
128,-9.149796,-17.910252
129,-12.950181,-15.570450
130,-2.818651,-9.490158
131,-0.972322,-6.448231
132,-6.708863,-0.737978
